date,debt
2006-10-15,22
2006-10-22,22
2006-10-29,22
2006-11-05,21
2006-11-12,22
2006-11-19,18
2006-11-26,21
2006-12-03,21
2006-12-10,20
2006-12-17,16
2006-12-24,17
2006-12-31,20
2007-01-07,22
2007-01-14,22
2007-01-21,25
2007-01-28,22
2007-02-04,22
2007-02-11,21
2007-02-18,22
2007-02-25,22
2007-03-04,23
2007-03-11,23
2007-03-18,22
2007-03-25,23
2007-04-01,23
2007-04-08,23
2007-04-15,22
2007-04-22,24
2007-04-29,24
2007-05-06,22
2007-05-13,21
2007-05-20,21
2007-05-27,21
2007-06-03,22
2007-06-10,23
2007-06-17,22
2007-06-24,22
2007-07-01,20
2007-07-08,23
2007-07-15,22
2007-07-22,24
2007-07-29,22
2007-08-05,23
2007-08-12,22
2007-08-19,21
2007-08-26,21
2007-09-02,20
2007-09-09,22
2007-09-16,24
2007-09-23,24
2007-09-30,24
2007-10-07,24
2007-10-14,26
2007-10-21,25
2007-10-28,25
2007-11-04,26
2007-11-11,26
2007-11-18,21
2007-11-25,25
2007-12-02,26
2007-12-09,23
2007-12-16,21
2007-12-23,21
2007-12-30,24
2008-01-06,28
2008-01-13,27
2008-01-20,27
2008-01-27,27
2008-02-03,27
2008-02-10,25
2008-02-17,25
2008-02-24,27
2008-03-02,26
2008-03-09,26
2008-03-16,26
2008-03-23,26
2008-03-30,25
2008-04-06,25
2008-04-13,26
2008-04-20,25
2008-04-27,24
2008-05-04,24
2008-05-11,23
2008-05-18,23
2008-05-25,22
2008-06-01,22
2008-06-08,24
2008-06-15,23
2008-06-22,24
2008-06-29,22
2008-07-06,25
2008-07-13,25
2008-07-20,24
2008-07-27,26
2008-08-03,24
2008-08-10,23
2008-08-17,24
2008-08-24,25
2008-08-31,25
2008-09-07,27
2008-09-14,32
2008-09-21,37
2008-09-28,35
2008-10-05,39
2008-10-12,34
2008-10-19,29
2008-10-26,30
2008-11-02,28
2008-11-09,32
2008-11-16,32
2008-11-23,27
2008-11-30,30
2008-12-07,30
2008-12-14,27
2008-12-21,21
2008-12-28,26
2009-01-04,30
2009-01-11,29
2009-01-18,28
2009-01-25,29
2009-02-01,31
2009-02-08,31
2009-02-15,32
2009-02-22,34
2009-03-01,31
2009-03-08,29
2009-03-15,28
2009-03-22,30
2009-03-29,29
2009-04-05,28
2009-04-12,28
2009-04-19,28
2009-04-26,27
2009-05-03,26
2009-05-10,26
2009-05-17,25
2009-05-24,24
2009-05-31,26
2009-06-07,27
2009-06-14,26
2009-06-21,26
2009-06-28,27
2009-07-05,28
2009-07-12,27
2009-07-19,27
2009-07-26,26
2009-08-02,27
2009-08-09,27
2009-08-16,25
2009-08-23,29
2009-08-30,25
2009-09-06,26
2009-09-13,27
2009-09-20,27
2009-09-27,26
2009-10-04,26
2009-10-11,28
2009-10-18,27
2009-10-25,26
2009-11-01,26
2009-11-08,26
2009-11-15,28
2009-11-22,26
2009-11-29,28
2009-12-06,26
2009-12-13,25
2009-12-20,18
2009-12-27,22
2010-01-03,27
2010-01-10,27
2010-01-17,27
2010-01-24,31
2010-01-31,33
2010-02-07,30
2010-02-14,30
2010-02-21,30
2010-02-28,29
2010-03-07,27
2010-03-14,27
2010-03-21,30
2010-03-28,26
2010-04-04,27
2010-04-11,28
2010-04-18,27
2010-04-25,30
2010-05-02,28
2010-05-09,27
2010-05-16,25
2010-05-23,24
2010-05-30,23
2010-06-06,25
2010-06-13,23
2010-06-20,24
2010-06-27,23
2010-07-04,22
2010-07-11,22
2010-07-18,23
2010-07-25,22
2010-08-01,21
2010-08-08,22
2010-08-15,21
2010-08-22,21
2010-08-29,20
2010-09-05,20
2010-09-12,21
2010-09-19,22
2010-09-26,22
2010-10-03,22
2010-10-10,22
2010-10-17,23
2010-10-24,23
2010-10-31,25
2010-11-07,24
2010-11-14,24
2010-11-21,18
2010-11-28,23
2010-12-05,22
2010-12-12,19
2010-12-19,15
2010-12-26,16
2011-01-02,26
2011-01-09,23
2011-01-16,25
2011-01-23,27
2011-01-30,24
2011-02-06,24
2011-02-13,26
2011-02-20,24
2011-02-27,23
2011-03-06,23
2011-03-13,23
2011-03-20,23
2011-03-27,23
2011-04-03,26
2011-04-10,32
2011-04-17,28
2011-04-24,25
2011-05-01,23
2011-05-08,23
2011-05-15,27
2011-05-22,22
2011-05-29,23
2011-06-05,23
2011-06-12,22
2011-06-19,22
2011-06-26,26
2011-07-03,27
2011-07-10,48
2011-07-17,48
2011-07-24,100
2011-07-31,98
2011-08-07,39
2011-08-14,28
2011-08-21,26
2011-08-28,34
2011-09-04,38
2011-09-11,32
2011-09-18,32
2011-09-25,31
2011-10-02,28
2011-10-09,27
